node,degree,weighted_strength,degree_centrality,betweenness_centrality,closeness_centrality
864691134884743930_0,35,34.99999995905106,0.14767932489451477,0.0010445411289090186,0.3512470774285461
864691134884785146_0,68,67.99999991715663,0.2869198312236287,0.012988101848217814,0.3896450554270072
864691134885065210_0,30,29.9999999597256,0.12658227848101264,0.00030592761588652104,0.3057973852718285
864691134917401610_0,2,1.9999999969190287,0.008438818565400843,0.0,0.15870214666297083
864691134939970659_0,56,55.999999940136824,0.2362869198312236,0.00922796271102931,0.34621328173291405
864691134947391996_0,63,62.99999992214245,0.26582278481012656,0.005596022150343644,0.3729364338392282
864691134964464159_0,57,56.99999993022472,0.24050632911392403,0.009461696688386539,0.363581841017174
864691134988464250_0,9,8.999999986068502,0.03797468354430379,0.0005714351865823007,0.24539722452400684
864691134988843898_0,48,47.999999940073565,0.20253164556962022,0.004092605477535063,0.3678882249209307
864691135012449014_0,50,49.99999993390475,0.21097046413502107,0.0043249142092813535,0.3445672597912362
864691135012477174_0,10,9.999999984138734,0.04219409282700422,8.41343255115513e-06,0.2812702987429108
864691135058527899_0,62,61.999999932010205,0.26160337552742613,0.004725006450656442,0.37039512934969343
864691135065106244_0,7,6.999999991372964,0.02953586497890295,0.005116637727721416,0.1720110292154035
864691135081630199_0,62,61.999999929449594,0.26160337552742613,0.007612995201651709,0.3841377048202651
864691135081694455_0,18,17.99999997812445,0.07594936708860758,0.013871123983090625,0.23945147679324894
864691135081695479_0,54,53.999999936303645,0.22784810126582278,0.020378765245551243,0.3478751054852321
864691135081697783_0,57,56.99999993528087,0.24050632911392403,0.011387974380636648,0.37746864744491326
864691135081705975_0,58,57.99999994508776,0.24472573839662445,0.009358404307510063,0.35937510897234715
864691135081706999_0,60,59.9999999352235,0.2531645569620253,0.019908277007360847,0.36913742093084895
864691135081729271_0,21,20.999999970671084,0.08860759493670885,0.003043397676756014,0.2766182454558143
864691135103950157_0,64,63.999999928406766,0.270042194092827,0.0047139829346169075,0.3666474551910119
864691135113150361_0,65,64.99999992958085,0.2742616033755274,0.005641039614356893,0.38010828833613647
864691135122342695_0,39,38.99999994922545,0.16455696202531644,0.0022429439272482637,0.36236990154711674
864691135122672167_0,3,2.9999999956209473,0.012658227848101264,0.0,0.1680231382753246
864691135162249261_0,45,44.99999994183436,0.18987341772151897,0.0032378692481089097,0.3360462765506492
864691135207767417_0,72,71.99999991828668,0.30379746835443033,0.016156428810360928,0.3917512449158018
864691135210002880_0,53,52.99999994341296,0.22362869198312235,0.006494292168965116,0.3484325976414584
864691135210008000_0,64,63.99999993091162,0.270042194092827,0.010466196408147261,0.3587820807397195
864691135212598912_0,6,5.999999993162483,0.025316455696202528,0.0002921014014152714,0.19965283831797062
864691135212723328_0,66,65.99999993083941,0.27848101265822783,0.021712799423789078,0.3768144556815772
864691135233105753_0,57,56.99999994000168,0.24050632911392403,0.023800944571752403,0.3599701008746192
864691135233134169_0,70,69.9999999238167,0.29535864978902954,0.009008388611510973,0.3841377048202651
864691135269775269_0,56,55.99999993538202,0.2362869198312236,0.009748682929354607,0.3768144556815772
864691135272416017_0,41,40.99999994748854,0.1729957805907173,0.0010342081276402018,0.3221065791529927
864691135274127589_0,63,62.99999992688757,0.26582278481012656,0.015368869394357162,0.39245837712684123
864691135291742646_0,3,2.999999995984566,0.012658227848101264,0.0,0.24211797430765036
864691135292124342_0,68,67.99999992545393,0.2869198312236287,0.014377372053381016,0.38278510726808107
864691135293054988_0,42,41.99999994262146,0.1772151898734177,0.0017454168235851435,0.3235445549527828
864691135307095878_0,32,31.999999956116074,0.1350210970464135,0.008867492948369316,0.2962151783763897
864691135322944156_0,32,31.99999995441884,0.1350210970464135,0.005149893670954303,0.31510426221488413
864691135322991516_0,48,47.99999994582437,0.20253164556962022,0.021401051658937038,0.3478751054852321
864691135337676518_0,0,0,0.0,0.0,0.0
864691135340974021_0,53,52.999999932873095,0.22362869198312235,0.0060155752186245,0.3512470774285461
864691135341033157_0,5,4.999999992494197,0.02109704641350211,0.008105079978068606,0.16776384330885033
864691135341059781_0,9,8.999999986898851,0.03797468354430379,0.010817607573314595,0.20113038013716006
864691135341529521_0,41,40.999999944950986,0.1729957805907173,0.01062203226024442,0.3314358855613872
864691135345188767_0,15,14.999999982387388,0.06329113924050632,0.009839976710379682,0.22910636557246578
864691135345260191_0,74,73.99999991949683,0.3122362869198312,0.03194274684861494,0.39893934115278906
864691135348251607_0,64,63.99999993515855,0.270042194092827,0.0049335077095445466,0.36236990154711674
864691135348612055_0,40,39.999999957209795,0.16877637130801687,0.003285196730892342,0.307963089133527
864691135350890482_0,23,22.999999967263022,0.0970464135021097,0.0018040588241590003,0.2962151783763897
864691135360101703_0,35,34.99999995457206,0.14767932489451477,0.0013383173469883494,0.3552646093599184
864691135360163911_0,61,60.999999934143915,0.2573839662447257,0.014413507816307812,0.3564294113578197
864691135361674738_0,31,30.99999996040158,0.13080168776371306,0.017962037929415076,0.29743083574318746
